SampleID,Q-001使用している,Q-002使用中のブランド(V),Q3_好きなところ(FA),Q4_嫌いなところ(FA),Q5_他に使用してみたいブランドの有無(V),Q5_2_他に使用してみたいブランド(V),Q6_理由(FA),Q7_年代(V),Q8_婚姻(V),Q9_ファンデーションのタイプ(V),Q10_購入場所(V),Q11_感じていること・要望など(FA)
4956,1,エリクシール,自分にあっている,特にない,ある,プラウディア,評判が良いから,50-59歳,既婚（子供あり）,パウダリータイプ,ドラッグストア,自分に合う商品を見つけることが難しい
4957,1,コスメデコルテ,しっとり感があって　顔になじむ。厚塗りっぽくならない。,金額が高い,ある,プラウディア,安くてよさそう。マット感が充実してそう,35-39歳,既婚（子供あり）,リキッドタイプ,デパート,顔のくすみやしみなどをかくすだけではなく　美白をしていくような　美容液タイプのものやコエンザエムＱ１０のような　栄養をあたえるタイプのものがほしい。
4958,1,ファインフィット,伸びがよくて使いやすい。自然なカバー力がある。,特にない。,ない,,,30-34歳,既婚（子供あり）,リキッドタイプ,ドラッグストア,自分の肌に合う色がわかりにくい
4959,1,その他,夏でもべたつかないUV防止効果が高い値段が手頃,コンパクトが使いにくい,ない,,,40-49歳,既婚（子供あり）,パウダリータイプ,インターネット以外の通信販売,ファンデーションは、色以外　そんなに差を感じないが、夏はUV防止効果が高いものを選ぶ
4960,1,クリニーク,オイルフリー,値段が高い,ない,,,30-34歳,未婚,パウダリータイプ,その他,色の選び方がむずかしい
4961,1,プラウディア,透明感がある、うすづきでも気になるしみ・にきびのあとをしっかりカバーできるから,値段が少し高めだと思う,ある,オルビス,CMではなちゃんが宣伝していたから。肌にやさしそうなイメージだから。,25-29歳,既婚（子供なし）,パウダリータイプ,デパート,コンパクトを軽く・小さく・安くしてほしい！
4962,1,ホワイティア,肌になじむ,値段が高い,ある,SK-Ⅱ,一度試してみたい,19歳以下,未婚,リキッドタイプ,デパート,もっと肌と馴染みやすいといい
4963,1,マキアージュ,カバー力、話題性,使いづらい、パッケージデザインが気に入らない。,ある,クリニーク,９／１発売の限定キットが気になっていた。雑誌Ｗｉｔｈにサンプルが付いていて、使ってみたらよかった。,25-29歳,未婚,クリームタイプ,ドラッグストア,アナスイやポールジョー、マジョリカマジョルカのようにデザイン性が高いパッケージ商品が買いたい。
4964,1,プラウディア,特になし。,なし。,ない,,,40-49歳,未婚,パウダリータイプ,ドラッグストア,なし。
4965,1,その他,自然な所。香料など、余計なものが入っていないから。後、肌にもなじみやすい。,デパートなどで売っていないこと。,ない,,,25-29歳,既婚（子供なし）,リキッドタイプ,その他,特になし
4966,1,オルビス,薄く、自然に仕上がるから,特に無い,ない,,,35-39歳,既婚（子供あり）,パウダリータイプ,ディスカウント系のインターネット通信販売,特に無い
4967,1,その他,化粧水をつけるような感覚でつけられる,なし,ない,,,40-49歳,未婚,その他,ドラッグストア,なし
4968,1,その他,カバー力があるのに、自然。保湿効果がある。,高い！,ある,RMK,広告で見て、良さそうだったから,25-29歳,未婚,クリームタイプ,デパート,・もっと機能性の高いものがあるよい　ex.カバー力があり、保湿効果がある　かつ　使いやすいパッケージ　など
4969,1,その他,カバー力がある,オイルフリーなのにちょっとベタベタする,ある,イプサ,サンプル使用したら、ベタつきがなく良かったから,25-29歳,未婚,リキッドタイプ,デパート,特になし
4970,1,ルティーナ,肌になじみやすく　くずれにくい,とくになし,ある,SK-Ⅱ,ＣＭでみてよさそう,30-34歳,既婚（子供あり）,パウダリータイプ,大型スーパー,くずれやすいのでしっかりなじむもの
4971,1,その他,肌へのなじみがよい,特にない,ある,花王ソフィーナ（メーカー),以前使用していてよかったから,50-59歳,既婚（子供あり）,パウダリータイプ,ドラッグストア,衣類につくと落ちないので困る
4972,1,ファンケル,薄くつく　無添加,ソバカスやシミがあまり隠れない,ない,,,40-49歳,既婚（子供あり）,クリームタイプ,ブランド専門のインターネット通信販売,年をとると共に　ファンデーションのつき具合が悪くなったように思う。しわに入ってしまったり　よれてしまったりする。しわを隠したいとは思わないが　自然なかんじでメイクできるファンデーションがいいとおもう。
4973,1,資生堂（メーカー）,色もクリームタイプだけど、むらなくぬれていいです。,値段が高いところ。,ない,,,40-49歳,既婚（子供あり）,クリームタイプ,ドラッグストア,色がもう少し好みに近い色が合ったらなあと思います。色の種類が少ないように思います。
4974,1,その他,肌に馴染みやすい,なし,ない,,,20-24歳,未婚,リキッドタイプ,ドラッグストア,なし
4975,1,その他,パラペン、香料を使ってなくて肌に優しいところ,あまりうってる店がないとこ,ある,その他,ｹｰｽがかっこいいから,25-29歳,未婚,クリームタイプ,インターネット以外の通信販売,てからず長持ちするのが一番です
4976,1,その他,肌によくなじむ,ボトルが重くて転びやすい,ない,,,40-49歳,既婚（子供なし）,リキッドタイプ,デパート,色の選択がムズカシイ
4977,1,レイシャス,特になし,特になし,ある,その他,出来る大人の女というブランドイメージがあるから,35-39歳,既婚（子供あり）,パウダリータイプ,化粧品専門店,あまり好きじゃないので必要が無ければ使わない
4978,1,その他,リキッドだけどべたつきがない,チューブなので最後がきれいにでてこない,ない,,,40-49歳,既婚（子供あり）,リキッドタイプ,その他,年齢をかさねるにつれ，のりが悪くなってきた。
4979,1,UVホワイト,化粧のりがいい,特になし,ない,,,19歳以下,未婚,パウダリータイプ,ドラッグストア,高い。
4980,1,エリクシール,パウダリーを使っているが、比較的自然な感じで肌になじむ,今のところマイナス面はない,ある,レヴュー,雑誌で紹介されていたから,30-34歳,既婚（子供なし）,パウダリータイプ,ドラッグストア,なかなか自分の肌に合うものがみつからない。乾燥肌なので冬場はリキッドタイプしている。夏場はパウダリーでも良いがなんとなく浮いた感じがする。
4981,1,その他,カバー効果があるが、うすづきな所,目の回りなどが、しわっぽくなるところ,ある,その他,高価なので、しわっぽくならずに自然な感じに仕上るような気がするので,50-59歳,既婚（子供あり）,パウダリータイプ,インターネット以外の通信販売,自然な感じでカバー効果があり、目の周りや口の周りがしわっぽくならないファンデーションがあれば良いと思っています。
4982,1,その他,使い慣れている,厚塗りになりがち,ある,その他,薄付きをうたっているから,40-49歳,未婚,パウダリータイプ,その他,値段がもう少し安ければ色々試せるが一つ買ってしまうと使い切るまで他を試せない
4983,1,その他,価格が手頃。リキッドとパウダーファンデが揃っている。付き心地が良い。,特になし,ある,プラウディア,CMで見て,40-49歳,未婚,パウダリータイプ,ブランド専門のインターネット通信販売,薄付きでカバー力があり、落ちにくいのがあればいいと思う。
4984,1,ファインフィット,色が肌に合っている,カバー力が弱い,ない,,,25-29歳,既婚（子供あり）,リキッドタイプ,ドラッグストア,できるだけ自然にしみを隠したい
4985,1,その他,肌にピッタリなじむ,高い,ない,,,30-34歳,既婚（子供あり）,リキッドタイプ,化粧品専門店,誰でも綺麗に素肌っぽく使えるファンデーションが欲しい！！
4986,1,ルティーナ,滑らかに伸び、毛穴が目立たなくなる。　肌に適当なつやが出る。,夏はテカル。,ある,エクサージュ,友人が使っていて、肌がきれいに見えたから,50-59歳,既婚（子供あり）,リキッドタイプ,ドラッグストア,若い人向けのものが多い。５０代でもきれいに見えるものがほしい。
4987,1,カネボウ（メーカー）,自分にあっているから,なし,ない,,,30-34歳,既婚（子供あり）,パウダリータイプ,ドラッグストア,なし
4988,1,その他,紫外線予防できるところ,特に無し,ない,,,35-39歳,既婚（子供なし）,パウダリータイプ,ドラッグストア,特に無し
4989,1,ちふれ,・安い,・べたつく,ある,マジョリカマジョルカ,周りで評判がよいので,19歳以下,未婚,パウダリータイプ,大型スーパー,特になし
4990,1,その他,お肌に馴染みやすい。,私にとっては、値段が高い。,ない,,,35-39歳,既婚（子供あり）,パウダリータイプ,その他,お肌の調子が悪くても、ごまかせるファンデーションが欲しい。出来るだけ、自然に近く、アレルギーを起こしにくいものがいい。
4991,1,レイシャス,肌にしっかりとなじむところ。,時間が経つと、化粧直ししなくてはならないこと。,ある,プラウディア,前にサンプルを使ったことがあって、よかったので、また使用してみたいと思ったから。,25-29歳,未婚,パウダリータイプ,デパート,化粧をしていないように、自然な感じがでるファンデーションがあったらいいと思う。肌に透明感がでるようなファンデーションもあったらと思う。肌にしっとりとなじむファンデーションが欲しいです！
4992,1,その他,汗に強い,きめがあらい,ない,,,40-49歳,既婚（子供あり）,パウダリータイプ,化粧品専門店,ファンデーションがないと女性がもっとも困るのではないかと思います
4993,1,その他,パッケージがかわいいし、コンパクト！,値段が高め。,ある,マキアージュ,最近ＣＭなど話題になっているので,20-24歳,未婚,パウダリータイプ,ドラッグストア,ナチュラルで落ちにくいものがほしい。
4994,1,レイシャス,綺麗に塗れる,高い,ない,,,25-29歳,既婚（子供あり）,パウダリータイプ,ドラッグストア,もっとぬっていない感じに仕上げたい
4995,1,レヴュー,色が自分の肌に近い,とくに無し,ある,その他,友達が使っているから,19歳以下,未婚,パウダリータイプ,ドラッグストア,乾燥肌じゃない人でも使えるリキッドタイプのファンデが欲しい
4996,1,プラウディア,肌への付き、伸びが良い・崩れにくい・カバー力があるのに不自然ではない,特になし,ある,マキアージュ,同じ資生堂の商品の新作であるから,35-39歳,未婚,パウダリータイプ,ドラッグストア,春のアレルギーの季節に、鼻をかんでも崩れにくいファンデ－ションがあれば…と毎年思います。
4997,1,プラウディア,透明感がある,カバー力はない,ない,,,40-49歳,既婚（子供あり）,リキッドタイプ,大型スーパー,透明感とカバー力のどちらも兼ね備えたものを希望します。
4998,1,マックスファクター（メーカー）,薄ずきでよくのびる。カバー力。,値段がちょっと高い。最後まで使い切れない。,ない,,,35-39歳,未婚,リキッドタイプ,化粧品専門店,肌を自然に見せて、潤いを保ってくれるものが理想です
4999,1,その他,コンパクトに高級感がある,重い、かさばる,ない,,,40-49歳,既婚（子供なし）,パウダリータイプ,デパート,化粧直し（塗り直し）がうまくいかない
5000,1,その他,付きが良くて自身の乾燥肌に適しているし夏用、冬用と分かれていて季節や肌の状態によって使い分けができる,付きは良いが塗るのが結構大変で時間がかかる。まんべんなくムラにならないようにするのが時間がない時困る,ある,その他,コマーシャルを見る限りでは透明肌が実感できそう？！,35-39歳,既婚（子供あり）,リキッドタイプ,その他,透明感がでるとかって言われているファンデも今まで結構試してみましたが実際はあまり実感できたものはありませんでした。やはり持っている素肌が駄目だと透明肌にはならないのかなぁ～？と少しへこむ時もあります。透明肌が手に入るファンデがあったら絶対永遠にリピーターになります！確実！！！
5001,1,オルビス,試してから買える。使いやすい,ケースが可愛くない,ない,,,35-39歳,未婚,パウダリータイプ,ブランド専門のインターネット通信販売,毛穴を隠せるものが欲しい
5002,1,ファンケル,乾燥肌にも安心して使える,なし,ない,,,20-24歳,既婚（子供なし）,リキッドタイプ,化粧品専門店,なし
5003,1,プラウディア,ずっと資生堂なので。きれいに肌荒れが隠せるのはいいです。,刺激が強すぎるかも知れません。,ない,,,30-34歳,未婚,パウダリータイプ,ドラッグストア,長時間つけているものなので刺激が強くないのがいいです
5004,1,プラウディア,有名なところ、ＣＭで気になったから購入した,見た目と付けた感じが違う。しっとり感がない。,ある,マックスファクター（メーカー）,以前に利用したことがあり肌によく馴染んだから。,25-29歳,未婚,リキッドタイプ,ドラッグストア,写真に写ると顔が白く写るのがイヤなんですが、何とかなりませんか？（鏡を見た感じと他人の見た目では自分の肌色にあっています）
5005,1,ホワイティア,ムラなくつく,匂い,ない,,,20-24歳,未婚,パウダリータイプ,ドラッグストア,もっと価格がおとせないか
5006,1,その他,仕上がり感がいい。オイルフリーなところ。,とくになし。,ない,,,25-29歳,未婚,リキッドタイプ,デパート,なかなか他のブランドのファンデーションに変えるのに勇気がいる。
5007,1,その他,肌が明るくなる綺麗に見える,ない,ない,,,30-34歳,未婚,リキッドタイプ,デパート,のびがよく、発色が綺麗で、肌に負担がかからないものがすき
5008,1,その他,さっぱりしてて夏場はよい。,冬はちょっとかさつく,ある,プラウディア,テレビのCMでよく目にし興味があるから。,35-39歳,既婚（子供あり）,パウダリータイプ,デパート,パウダーファンデーションはお化粧直しも使いやすい。
5009,1,マックスファクター（メーカー）,ブランド名はわからない。つけやすい,専用コンパクトの形が気に入っていたのにもう売っていない,ない,,,40-49歳,未婚,パウダリータイプ,化粧品専門店,くずれにくく、洗うと落ちやすいものが良い
5010,1,ファインフィット,使いやすく薄づきな所,とくになし,ある,レイシャス,テレビコマーシャルで見て良さそうだと思ったから。,20-24歳,未婚,パウダリータイプ,ドラッグストア,少なくなると少しの衝撃で粉々になるのが困る。
5011,1,DHC,使用感がよい,特に無い,ある,SK-Ⅱ,ＣＭみていて使いたいと思った,35-39歳,既婚（子供あり）,パウダリータイプ,ブランド専門のインターネット通信販売,下地と仕上げが面倒なので、出来れば一緒に使いたい
5012,1,その他,きれいに付く,厚く化粧しているように見える,ない,,,40-49歳,既婚（子供あり）,クリームタイプ,ドラッグストア,シミやくすみが多いのでそれをカバーしてくれるものが良いと思う
5013,1,CHANEL,カバー力があるところが気に入っています,特にありません,ない,,,20-24歳,未婚,パウダリータイプ,デパート,１日中化粧直ししなくてもいいようなファンデーションはないのかずっと思っている。
5014,1,ファインフィット,うすずきで伸びがいい　自然な仕上がり,ない,ない,,,50-59歳,既婚（子供あり）,リキッドタイプ,大型スーパー,ない
5015,1,CHANEL,よくのびるところ薄つきなところ,特になし,ある,マックスファクター（メーカー）,CMをみてよさそうだから,30-34歳,未婚,リキッドタイプ,デパート,特になし
5016,1,その他,ファンデーションとパウダーの中間みたいな塗り心地,プレゼントものなので自分の肌色に合ってないような気がする,ない,,,20-24歳,未婚,パウダリータイプ,ディスカウントショップ（ドンキホーテ等）,塗って長時間過ごすと肌があれてくるような気がする。美容液みたいなファンデがほしい
5017,1,DHC,のびがよい,特に無,ない,,,35-39歳,既婚（子供あり）,パウダリータイプ,ブランド専門のインターネット通信販売,なし
5018,1,SK-Ⅱ,伸びがよく、崩れにくい,高い,ない,,,30-34歳,既婚（子供あり）,パウダリータイプ,ブランド専門のインターネット通信販売,特に無い
5019,1,資生堂（メーカー）,透明感のある色,崩れやすい,ある,コーセー（メーカー）,以前に使用していたものだから,40-49歳,既婚（子供あり）,パウダリータイプ,大型スーパー,汗をかくと崩れるのが非常に気になる。
5020,1,その他,つきが良い。,高い。,ある,マキアージュ,ＣＭのイメージ。,30-34歳,未婚,パウダリータイプ,ブランド専門のインターネット通信販売,色のバリエーションが増えれば嬉しい。
5021,1,その他,のりがいい。肌になじむ感じ。,もう少し安く,ある,SK-Ⅱ,桃井かおりさんがきれいなので,40-49歳,既婚（子供なし）,パウダリータイプ,デパート,リキッドやパウダーなどあまり色々使用したことがないので、どれが自分にの肌に合うのか試してみたいです。
5022,1,ファインフィット,リキッドでオウトツやクマまで隠せ、コンシーラー要らずなところ。またパウダーとの併用でくずれにくいところ。,リキッドの伸びがあまりよくない。,ある,レヴュー,ＣＭで若々しいイメージだから。,30-34歳,既婚（子供あり）,リキッドタイプ,大型スーパー,つけないと不安で外に出られないので、とりあえず基本的に必要最低限のものだと思う。
5023,1,その他,自分の肌に合っている,少々高い,ない,,,35-39歳,既婚（子供あり）,リキッドタイプ,その他,肌荒れのときに使ってもしっとりするものがあるとよい。
5024,1,オルビス,紫外線を防いで、無油分。,無添加でないところ,ない,,,25-29歳,既婚（子供あり）,パウダリータイプ,ブランド専門のインターネット通信販売,冬などはファンデーションを塗ると乾燥しているために、粉をふいたようになり、肌が汚くみえるのでなんとかならないかと思う。
5025,1,プラウディア,さらっとしていて、自分の肌にあった色がある,少し、化粧持ちが悪く感じる,ある,レヴュー,CMを見てとても使ってみたいと思ったから,25-29歳,既婚（子供あり）,リキッドタイプ,ドラッグストア,透明感のある、綺麗な肌色でナチュラルに見えるメイクを目指しているのですが、なかなか難しいです。下地、ファンデーションセットなど、セットものの販売があれば、うれしいです。
5026,1,ファインフィット,粉っぽくならない,特にない,ある,エスト,サンプルでの使用感がよかった,30-34歳,既婚（子供あり）,パウダリータイプ,ドラッグストア,特にない
5027,1,花王ソフィーナ（メーカー),矢田亜希子が宣伝していた所パッケージがおしゃれカワイイ,気に入らない所はありません,ない,,,30-34歳,既婚（子供あり）,パウダリータイプ,大型スーパー,汗をかいても崩れにくいものを探しているのですが、崩れにくいと宣伝していても崩れやすいものもあるので、その辺がちょっと納得いかないなーと思った事があります。
5028,1,その他,それしか使ったことがないのでわからない,それしか使ったことがないのでわからないが特に問題はない,ある,ルティーナ,ブランド名が好き,20-24歳,未婚,リキッドタイプ,ドラッグストア,特になし
5029,1,その他,軽い使い心地。手軽に使える,あまり詳しくないのでわからない,ある,DHC,信頼できるから,30-34歳,既婚（子供あり）,リキッドタイプ,ドラッグストア,なるべく安いもので済ましたいので、安くて品質のよいものに出会いたい
5030,1,その他,肌に合う安い,特に無い,ない,,,40-49歳,既婚（子供あり）,パウダリータイプ,ブランド専門のインターネット通信販売,特に無い
5031,1,プラウディア,なじむ,ない,ある,ルティーナ,ＣＭでよく見かけるので。,20-24歳,未婚,パウダリータイプ,デパート,敏感肌用を増やして欲しい。
5032,1,その他,肌にあう,価格が高い,ない,,,30-34歳,既婚（子供あり）,パウダリータイプ,ドラッグストア,なんとか落ちないような、かつ洗顔が手間でないものが欲しい
5033,1,DHC,低価格コンビニに手に入る,イマイチマット感がないスポンジがついていない,ある,その他,今使っているのがイマイチ気にいらなくなってきたのでそろそろ買い換えたいと検討中,30-34歳,既婚（子供あり）,リキッドタイプ,コンビニエンスストア,あまり薄づきは好きではないでも、自然な感じでマット感があるのがいい
5034,1,その他,ムラになりにくい。,厚塗りになってる気がする。,ない,,,30-34歳,既婚（子供あり）,パウダリータイプ,化粧品専門店,紫外線や乾燥などから皮膚を守ってほしいです。
5035,1,その他,肌にすっと馴染むところが気に入っている。毛穴も目立たなくなるし、厚塗りにならない。,形が変わって、丸から四角になったので、少し使いにくくなった。,ない,,,40-49歳,既婚（子供あり）,パウダリータイプ,大型スーパー,特になし
5036,1,その他,なんとなくずっとこれです,特になし,ない,,,40-49歳,既婚（子供あり）,パウダリータイプ,その他,特になし
5037,1,その他,安価で気軽に買える事、香料などを不使用な事、選びやすい事など,常に同じ物が手に入らない。色などが少ない。,ない,,,40-49歳,未婚,リキッドタイプ,その他,高価なメーカー品でも、安物でもあまり変わらない。むしろ後者の方が、肌には合っている場合が多い。
5038,1,その他,厚化粧にならず仕上がりが自然でいい。くすみのない明るい肌にみえる。,特になし,ない,,,50-59歳,既婚（子供あり）,パウダリータイプ,ドラッグストア,仕上がりが自然で透明感があり、なおかつシミなどをカバーできれば最高。
5039,1,資生堂（メーカー）,さっぱりしている,特になし,ない,,,40-49歳,既婚（子供あり）,リキッドタイプ,大型スーパー,べとつかないのがほしい
5040,1,オルビス,つけ心地が良い。,すぐ崩れる。,ない,,,25-29歳,既婚（子供あり）,パウダリータイプ,インターネット以外の通信販売,崩れにくいものが欲しい。最後まできれいに使い切りたい。価格が気になる。
5041,1,その他,大人ニキビができない,今のところない,ある,マキアージュ,新製品なので,40-49歳,未婚,リキッドタイプ,ブランド専門のインターネット通信販売,艶が出るものが欲しい。
5042,1,花王ソフィーナ（メーカー),香りが強くない,特にない,ない,,,35-39歳,既婚（子供なし）,リキッドタイプ,大型スーパー,安価で自分の肌色に調合できるファンデーションがあればよいと思う
5043,1,その他,きめが細かい気がます。,特になし。,ない,,,35-39歳,未婚,パウダリータイプ,デパート,持ち歩いているときに割れてしまうことがあるんですが、割れない商品が望ましいです。
5044,1,その他,伸びがよく、崩れにくい,もう少しカバー力がほしい,ある,プラウディア,カバー力があり、崩れにくそう,25-29歳,未婚,リキッドタイプ,化粧品専門店,いろいろ使ってみるが、いまいち「これだ」というのがない。
5045,1,その他,香料、アルコール等使用しない天然成分のみで作られた商品だから,なし,ない,,,30-34歳,未婚,パウダリータイプ,その他,香料が入っているものがほとんどで、なかなか自分にあった化粧品を探しにくい
5046,1,メディア,安い。伸びがマシ。,服に色が付きやすい。,ある,SK-Ⅱ,品質が良さそうだから。,30-34歳,未婚,パウダリータイプ,大型スーパー,有名ブランドのファンデーションでも質の悪いのがある。またはケースが割れやすかったり。ブランド名に惑わされないよう、自分に合ったものを選びたい。
5047,1,セザンヌ,安価・好きな色がある・自然な付き心地,ケースがダサい,ある,その他,評判が良いので,35-39歳,既婚（子供あり）,パウダリータイプ,ドラッグストア,すぐによれてしまうので、長持ちするものはないのでしょうか
5048,1,資生堂（メーカー）,荒れない,高い,ない,,,30-34歳,未婚,パウダリータイプ,ドラッグストア,特になし
5049,1,CHANEL,つきがよい。,特になし。,ある,プラウディア,コマーシャルでみて全体的によさそうだから。,25-29歳,既婚（子供なし）,パウダリータイプ,その他,化粧崩れの全くしないファンデーションが欲しい。
5050,1,ランコム,カバー力,かさつく,ない,,,19歳以下,未婚,パウダリータイプ,デパート,なし
5051,1,レヴュー,伸びがいい。肌に合う。,におい、,ある,プラウディア,ＣＭのイメージがいい、安価。,25-29歳,既婚（子供あり）,リキッドタイプ,化粧品専門店,安全安心であること、肌に合うこと、色幅があること。
5052,1,その他,ものすごく付きが良くて、満足している。,なし,ない,,,30-34歳,既婚（子供あり）,パウダリータイプ,デパート,肌が少しでもきれいに見える物を選びます。
5053,1,オルビス,無添加,なし,ない,,,25-29歳,既婚（子供なし）,パウダリータイプ,ブランド専門のインターネット通信販売,夏でも付け心地がかるいのがいい
5054,1,花王ソフィーナ（メーカー),くすみがきえる,ちょっと透明感が無い,ある,プラウディア,以前まではプラウディアだったけど、値段が高いのでソフィーナにした。プラウディアはすごく素肌っぽく仕上がるからいい,25-29歳,既婚（子供なし）,リキッドタイプ,大型スーパー,服につきにくいけど、メイク落としが楽なのがあれば
5055,1,アスプリール,使い心地がいい,特にない,ない,,,30-34歳,既婚（子供なし）,パウダリータイプ,ドラッグストア,特にない
5056,1,その他,一度で着きがよく，化粧時間が短くてすむ．,体調が悪いと，毛穴に詰まってる感が強く，あまり着けたくなくなるところ．,ない,,,20-24歳,未婚,パウダリータイプ,インターネット以外の通信販売,肌に長時間つけるものなので，体にやさしい成分かどうか．開封してからどれくらいで使い切ればよいか．保存料の有無，それらの人体への影響．化粧効果ももちろんですが，キレイに居るためのものなので，何十年後の影響も気になっています．
5057,1,オルビス,通販で購入可能、低価格で無鉱油製品、肌に優しい。,アドバイスをもらえない。,ない,,,40-49歳,既婚（子供あり）,パウダリータイプ,インターネット以外の通信販売,使う事で肌に栄養が与えられればいいと思う
5058,1,その他,なし,粉っぽい,ない,,,40-49歳,既婚（子供あり）,パウダリータイプ,その他,あまり使いたくない
5059,1,その他,のびがいい。ソバカスが、かくれる,なし,ない,,,30-34歳,既婚（子供あり）,リキッドタイプ,その他,今のが気に入ってるので特になし
5060,1,オルビス,脂性肌だけど、夏場でもてかりが少ない。仕上がり感がきめ細かくて、いいと思う,特にない,ない,,,30-34歳,既婚（子供あり）,パウダリータイプ,インターネット以外の通信販売,肌のきめがかくせたり、もっと自然になじんでくれたら嬉しい
5061,1,プラウディア,つけた後、さらっとしている,カバー力が少ない,ない,,,25-29歳,未婚,パウダリータイプ,ドラッグストア,さらっとして保湿力があり、カバー力のあるパウダーファンデーションがほしい。
5062,1,プラウディア,ニキビ跡やシミを隠せる,化粧崩れがはげしい,ある,その他,店で見て、よさそうだったから,25-29歳,未婚,パウダリータイプ,化粧品専門店,冬場はマフラーや襟元に色うつりしやくて嫌だ
5063,1,花王ソフィーナ（メーカー),有名ブランドだから,値段が高い,ある,プラウディア,雑誌で人気NO１だったから,20-24歳,未婚,パウダリータイプ,ドラッグストア,油がういてくるのが嫌です。
5064,1,その他,キレイに見える,強いので肌が荒れる,ない,,,25-29歳,既婚（子供なし）,パウダリータイプ,その他,もう少し値段が安いと良い
5065,1,その他,安い所,キメが粗い感じ,ある,SK-Ⅱ,高くて良さそう,40-49歳,既婚（子供あり）,パウダリータイプ,インターネット以外の通信販売,自分に合った色を見つけるのが難しい
5066,1,レイシャス,ケースかきれい,あまり肌に合っていないように思う,ある,その他,肌に優しく、あまり無駄なものを使っていなさそうだから,25-29歳,既婚（子供なし）,パウダリータイプ,ドラッグストア,自分の肌にぴったりなものがなかなか見つからない。失敗が多い。
5067,1,セルフィット,うす付きである。,落ちやすい,ある,クリニーク,うす付きでカバー力がありそうだから,40-49歳,既婚（子供あり）,パウダリータイプ,ドラッグストア,服につきにくいファンデーションがほしい。
5068,1,その他,日焼け対策も一緒に出来る,冬向けではない,ある,その他,仕上がりがマット名感じで秋冬向き,35-39歳,既婚（子供あり）,リキッドタイプ,ディスカウント系のインターネット通信販売,ファンデーションは、使いつづけるうちに自分に馴染んでくるタイプの方が長続きします。今のファンデーションは季節を考えて変えなければならないので不満です。
5069,1,CHANEL,肌につけているという感じがなく自然体であること。,直ぐに取れてしまう。,ある,マックスファクター（メーカー）,テレビのコマーシャルでとても素敵に思ったから。,40-49歳,既婚（子供あり）,パウダリータイプ,デパート,もう少しコンパクト＝小さな容器にして欲しい。
5070,1,クリニーク,季節を問わず、ノリが良い,薄付きすぎて、カバー力に欠ける,ある,資生堂（メーカー）,コマーシャルが魅力的、理想的なマット肌になれそう,30-34歳,既婚（子供あり）,パウダリータイプ,ディスカウント系のインターネット通信販売,最近、塗っているほど肌に美容効果があるというのも出てきているので、これから期待したい
5071,1,プラウディア,薄づきで伸びがよいところ,とくになし。,ない,,,50-59歳,既婚（子供なし）,パウダリータイプ,ドラッグストア,シミやクマなどを隠したいが、そのために厚塗りになるのはいやなので、薄づきでありながら、シミやクマなどをしっかりカバーしてくれるファンデーションがほしい。あと、小鼻周りなどの皮脂分泌の多い場所の化粧崩れが少ない商品があればと思います。
5072,1,プラウディア,特になし,油が浮く気がする,ない,,,20-24歳,未婚,パウダリータイプ,化粧品専門店,もっとつけてる感じがしない軽い感じのがあればと思う
5073,1,CHANEL,つきがいい,たかい,ない,,,30-34歳,既婚（子供あり）,パウダリータイプ,その他,サンプルでためさせてほしい
5074,1,セルフィット,安い,匂い,ある,ファンケル,肌に良さそうだから,19歳以下,未婚,パウダリータイプ,ドラッグストア,とくになし
5075,1,その他,程良くつやがあるところ。こってりした感じではなく、やや薄付きだけど、ある程度カバーできるところ。,時間がたつと、毛穴が目立つような気がする。,ある,その他,雑誌で見ていて、薄付きできれいに仕上がりそうだと思ったから,30-34歳,未婚,クリームタイプ,デパート,保湿があり、程よくカバーできて、崩れにくいファンデーションが欲しい。
5076,1,レイシャス,薄づきでくすみがカバー出来る。ほんのり肌が光って見える。,コンパクトが大きい,ない,,,30-34歳,未婚,パウダリータイプ,ドラッグストア,容器の大きさを変えてコンパクトケースを買いなおすことがないようにして欲しい。
5077,1,その他,リキッドタイプで乾性のあう。のびがいい。もちがいい。,ふたをあけるとき、縁につく。多すぎるときがあり、適量をとりだしにくい。,ある,SK-Ⅱ,年令にあうような気がする。モデルがすき。,50-59歳,未婚,クリームタイプ,化粧品専門店,カバーするというより（シミ・そばかすは多いけど）、自然な仕上がりと、乾性にあう保湿タイプ、ぬりながら、ケアしてくれるものがよい。年代にあうものの中から選べるといい。使う分量が適量ずつとれるものがいい。
5078,1,プラウディア,薄くつくところ,なし,ある,マキアージュ,新しく出た。透明感があるという宣伝だから。,25-29歳,未婚,リキッドタイプ,大型スーパー,つけるとすぐかさかさになるので何とかならないかと思う。
5079,1,レヴュー,ファンデーションの伸びがよい。自分の肌に合う,特になし,ない,,,25-29歳,未婚,リキッドタイプ,化粧品専門店,特になし
5080,1,UVホワイト,自分に合っている,特になし,ある,プラウディア,ＣＭを見たことがあるので,30-34歳,既婚（子供あり）,パウダリータイプ,大型スーパー,今のファンデーションが合っているのですが、あまりお化粧はするのが好きでないので、もっと素肌に近いファンデーションがほしいなと思っています。
5081,1,オルビス,安くて、肌に合う,特にない,ない,,,20-24歳,既婚（子供あり）,パウダリータイプ,ブランド専門のインターネット通信販売,肌になじまないことがしばしばある
